Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEF 214 SUL;53001567;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 214, S/N AREA ESPECIAL. ASA SUL. 70293-000 Brasília - DF.";(61) 39012502;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.8322929;-47.9177738
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 302 NORTE;53001575;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQN 302, A/E. ASA NORTE. 70723-000 Brasília - DF.";(61) 39017588;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.7820883;-47.8856334
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 304 NORTE;53001583;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQN 304, AREA ESPECIAL. ASA NORTE. 70736-000 Brasília - DF.";(61) 39017585;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.7762794;-47.8862591
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 304 SUL;53001591;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 304, AREA ESPECIAL. ASA SUL. 70337-000 Brasília - DF.";(61) 39011542;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.8056132;-47.8963181
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 305 SUL;53001605;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 305, 00 AREA ESPECIAL S/N. ASA SUL. 70352-000 Brasília - DF.";(61) 39012510;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.80777933;-47.89852923
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEF 306 NORTE;53001613;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQN 306, AREA ESPECIAL. ASA NORTE. 70745-000 Brasília - DF.";(61) 39013092;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.7710485388753;-47.8869899682698
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 308 SUL;53001621;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA EQS 307/308, AREA ESPECIAL. ASA SUL. 70354-400 Brasília - DF.";(61) 39011526;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.8136166;-47.9053277
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 312 NORTE;53001630;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQN 312, AREA ESPECIAL. ASA NORTE. 70765-000 Brasília - DF.";(61) 39017528;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-15.7523573;-47.8928758
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EC 314 SUL;53001648;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQS 314, AREA ESPECIAL. ASA SUL. 70383-000 Brasília - DF.";(61) 39017758;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-15.827159;-47.9218978
ESCOLA PARALISADA;EC 315 SUL;53001656;DF;Brasília;Urbana;Não Informado;Pública;"QUADRA SQS 315 BLOCO E, 315 ASA SUL. ASA SUL. 70384-050 Brasília - DF.";(61) 39012491;Estadual;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEI 316 NORTE;53001664;DF;Brasília;Urbana;A escola não está em área de localização diferenciada;Pública;"QUADRA SQN 316 - A/E, 39017530 SQN 316. ASA NORTE. 70775-000 Brasília - DF.";(61) 39017530;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-15.7389096;-47.8966194
